Energy	Impulses
E/keV	Impulses/#

10.6	53
11.3	48
12.1	49
12.8	49
13.5	44
14.2	57
14.9	56
15.6	60
16.3	56
17.0	52
17.7	52
18.4	64
19.2	60
19.9	67
20.6	67
21.3	91
22.0	61
22.7	60
23.4	75
24.1	63
24.8	72
25.5	349
26.2	1517
27.0	2796
27.7	2933
28.4	3020
29.1	3687
29.8	3110
30.5	3514
31.2	3523
31.9	3510
32.6	3903
33.3	3494
34.1	3323
34.8	3477
35.5	3263
36.2	3129
36.9	3764
37.6	3088
38.3	3151
39.0	3694
39.7	3208
40.4	3924
41.2	3597
41.9	3440
42.6	3789
43.3	4074
44.0	4144
44.7	3562
45.4	3727
46.1	3888
46.8	3352
47.5	3580
48.2	4170
49.0	3334
49.7	3569
50.4	3759
51.1	3209
51.8	3777
52.5	3310
53.2	3249
53.9	3437
54.6	3337
55.3	3273
56.1	3488
56.8	3266
57.5	3431
58.2	3086
58.9	2905
59.6	3588
60.3	2920
61.0	3117
61.7	2985
62.4	2774
63.2	3309
63.9	2954
64.6	2679
65.3	2975
66.0	3047
66.7	2792
67.4	3200
68.1	2855
68.8	2960
69.5	2495
70.2	2916
71.0	3024
71.7	2749
72.4	3022
73.1	2777
73.8	2615
74.5	3245
75.2	2588
75.9	2859
76.6	2866
77.3	2867
78.1	3558
78.8	2589
79.5	2781
80.2	2983
80.9	2652
81.6	2662
82.3	3050
83.0	2575
83.7	2617
84.4	2915
85.2	2627
85.9	3012
86.6	2770
87.3	2546
88.0	2906
88.7	2669
89.4	2817
90.1	2815
90.8	2763
91.5	2867
92.2	2480
93.0	2777
93.7	3023
94.4	2611
95.1	2823
95.8	2742
96.5	2542
97.2	3058
97.9	2703
98.6	2657
99.3	3020
100.1	2878
100.8	2730
101.5	3239
102.2	2831
102.9	3010
103.6	2827
104.3	2594
105.0	3284
105.7	2615
106.4	2893
107.1	2844
107.9	2614
108.6	3312
109.3	3086
110.0	2694
110.7	3045
111.4	3021
112.1	2919
112.8	2957
113.5	2994
114.2	3319
115.0	2627
115.7	2952
116.4	3423
117.1	2942
117.8	3291
118.5	2988
119.2	2926
119.9	3375
120.6	2918
121.3	3186
122.1	3341
122.8	3213
123.5	3552
124.2	3535
124.9	3205
125.6	3526
126.3	3146
127.0	3045
127.7	3711
128.4	3139
129.1	3064
129.9	3666
130.6	3088
131.3	3814
132.0	3488
132.7	3208
133.4	3523
134.1	3728
134.8	3912
135.5	3342
136.2	3486
137.0	3667
137.7	3340
138.4	3533
139.1	4014
139.8	3278
140.5	3612
141.2	3770
141.9	3361
142.6	3905
143.3	3360
144.1	3577
144.8	3687
145.5	3542
146.2	3874
146.9	3228
147.6	3417
148.3	3495
149.0	3135
149.7	2962
150.4	3449
151.1	2928
151.9	3149
152.6	3007
153.3	2638
154.0	3181
154.7	2997
155.4	2649
156.1	2803
156.8	2895
157.5	2710
158.2	3065
159.0	2776
159.7	2848
160.4	2352
161.1	2732
161.8	2876
162.5	2462
163.2	2856
163.9	2543
164.6	2495
165.3	2935
166.1	2325
166.8	2607
167.5	2613
168.2	2729
168.9	3282
169.6	2595
170.3	2670
171.0	2895
171.7	2656
172.4	2715
173.1	3182
173.9	2865
174.6	3052
175.3	3269
176.0	3045
176.7	3951
177.4	3603
178.1	3366
178.8	3860
179.5	4148
180.2	4316
181.0	3858
181.7	4081
182.4	4221
183.1	3704
183.8	3892
184.5	4499
185.2	3578
185.9	3876
186.6	3457
187.3	3336
188.1	3524
188.8	3045
189.5	2829
190.2	2969
190.9	2814
191.6	2332
192.3	2966
193.0	2459
193.7	2436
194.4	2199
195.1	2077
195.9	2629
196.6	2193
197.3	2466
198.0	2446
198.7	2446
199.4	2979
200.1	2812
200.8	2592
201.5	2940
202.2	3106
203.0	3177
203.7	3152
204.4	3138
205.1	3357
205.8	2718
206.5	3168
207.2	3428
207.9	2768
208.6	3093
209.3	2683
210.1	2521
210.8	2801
211.5	2209
212.2	2244
212.9	2194
213.6	2039
214.3	2208
215.0	1756
215.7	1636
216.4	1611
217.1	1406
217.9	1290
218.6	1431
219.3	1130
220.0	1018
220.7	1177
221.4	974
222.1	1049
222.8	967
223.5	820
224.2	943
225.0	928
225.7	856
226.4	788
227.1	790
227.8	758
228.5	668
229.2	743
229.9	844
230.6	623
231.3	677
232.1	701
232.8	620
233.5	699
234.2	656
234.9	582
235.6	646
236.3	672
237.0	595
237.7	679
238.4	621
239.1	609
239.9	529
240.6	519
241.3	576
242.0	487
242.7	526
243.4	505
244.1	489
244.8	616
245.5	486
246.2	474
247.0	512
247.7	525
248.4	466
249.1	500
249.8	471
250.5	478
251.2	405
251.9	468
252.6	507
253.3	455
254.1	438
254.8	443
255.5	378
256.2	461
256.9	356
257.6	424
258.3	419
259.0	420
259.7	473
260.4	361
261.1	395
261.9	430
262.6	345
263.3	351
264.0	419
264.7	369
265.4	348
266.1	399
266.8	346
267.5	430
268.2	362
269.0	329
269.7	349
270.4	350
271.1	368
271.8	340
272.5	341
273.2	370
273.9	300
274.6	301
275.3	347
276.1	321
276.8	305
277.5	328
278.2	294
278.9	336
279.6	289
280.3	300
281.0	370
281.7	324
282.4	331
283.1	246
283.9	283
284.6	288
285.3	300
286.0	294
286.7	309
287.4	269
288.1	282
288.8	268
289.5	249
290.2	318
291.0	253
291.7	219
292.4	276
293.1	250
293.8	304
294.5	296
295.2	253
295.9	272
296.6	246
297.3	213
298.0	252
298.8	259
299.5	267
300.2	265
300.9	242
301.6	222
302.3	234
303.0	224
303.7	234
304.4	221
305.1	260
305.9	225
306.6	221
307.3	222
308.0	218
308.7	192
309.4	223
310.1	190
310.8	168
311.5	202
312.2	180
313.0	228
313.7	205
314.4	193
315.1	199
315.8	210
316.5	249
317.2	183
317.9	186
318.6	172
319.3	191
320.0	206
320.8	206
321.5	177
322.2	201
322.9	170
323.6	163
324.3	204
325.0	167
325.7	178
326.4	185
327.1	186
327.9	186
328.6	159
329.3	176
330.0	172
330.7	158
331.4	123
332.1	165
332.8	172
333.5	150
334.2	159
335.0	147
335.7	165
336.4	150
337.1	152
337.8	145
338.5	152
339.2	115
339.9	168
340.6	151
341.3	181
342.0	116
342.8	134
343.5	143
344.2	134
344.9	136
345.6	105
346.3	135
347.0	142
347.7	129
348.4	132
349.1	123
349.9	123
350.6	128
351.3	114
352.0	126
352.7	118
353.4	125
354.1	121
354.8	120
355.5	98
356.2	126
357.0	112
357.7	100
358.4	107
359.1	98
359.8	100
360.5	119
361.2	99
361.9	137
362.6	107
363.3	103
364.0	86
364.8	81
365.5	93
366.2	95
366.9	97
367.6	107
368.3	81
369.0	81
369.7	97
370.4	88
371.1	91
371.9	95
372.6	84
373.3	55
374.0	80
374.7	79
375.4	93
376.1	62
376.8	73
377.5	77
378.2	75
379.0	82
379.7	64
380.4	47
381.1	69
381.8	84
382.5	76
383.2	65
383.9	64
384.6	66
385.3	71
386.0	53
386.8	69
387.5	50
388.2	66
388.9	60
389.6	56
390.3	45
391.0	62
391.7	53
392.4	61
393.1	47
393.9	45
394.6	44
395.3	61
396.0	59
396.7	35
397.4	46
398.1	63
398.8	30
399.5	36
400.2	34
401.0	39
401.7	43
402.4	36
403.1	35
403.8	51
404.5	48
405.2	38
405.9	38
406.6	31
407.3	35
408.0	26
408.8	25
409.5	33
410.2	31
410.9	34
411.6	30
412.3	25
413.0	33
413.7	24
414.4	33
415.1	26
415.9	30
416.6	20
417.3	27
418.0	16
418.7	20
419.4	19
420.1	23
420.8	18
421.5	25
422.2	17
423.0	15
423.7	16
424.4	23
425.1	26
425.8	23
426.5	21
427.2	24
427.9	20
428.6	18
429.3	17
430.0	14
430.8	15
431.5	20
432.2	22
432.9	19
433.6	24
434.3	24
435.0	20
435.7	15
436.4	17
437.1	14
437.9	14
438.6	12
439.3	18
440.0	10
440.7	13
441.4	15
442.1	14
442.8	17
443.5	14
444.2	14
445.0	14
445.7	19
446.4	10
447.1	15
447.8	16
448.5	12
449.2	13
449.9	13
450.6	12
451.3	12
452.0	12
452.8	11
453.5	7
454.2	7
454.9	14
455.6	4
456.3	18
457.0	8
457.7	5
458.4	13
459.1	12
459.9	7
460.6	5
461.3	12
462.0	4
462.7	12
463.4	10
464.1	4
464.8	6
465.5	6
466.2	6
466.9	4
467.7	10
468.4	12
469.1	8
469.8	6
470.5	8
471.2	8
471.9	14
472.6	8
473.3	10
474.0	8
474.8	5
475.5	3
476.2	6
476.9	8
477.6	10
478.3	7
479.0	6
479.7	6
480.4	9
481.1	10
481.9	8
482.6	9
483.3	9
484.0	8
484.7	7
485.4	6
486.1	6
486.8	11
487.5	6
488.2	7
488.9	9
489.7	2
490.4	12
491.1	5
491.8	2
492.5	7
493.2	7
493.9	7
494.6	2
495.3	8
496.0	4
496.8	3
497.5	8
498.2	5
498.9	4
499.6	5
500.3	3
501.0	7
501.7	5
502.4	5
503.1	4
503.9	9
504.6	3
505.3	5
506.0	6
506.7	2
507.4	3
508.1	1
508.8	4
509.5	7
510.2	5
510.9	5
511.7	3
512.4	4
513.1	2
513.8	3
514.5	2
515.2	2
515.9	2
516.6	2
517.3	4
518.0	1
518.8	4
519.5	2
520.2	2
520.9	2
521.6	5
522.3	2
523.0	2
523.7	2
524.4	2
525.1	5
525.9	1
526.6	4
527.3	1
528.0	3
528.7	5
529.4	2
530.1	2
530.8	2
531.5	5
532.2	4
532.9	4
533.7	0
534.4	6
535.1	2
535.8	2
536.5	4
537.2	2
537.9	2
538.6	4
539.3	3
540.0	7
540.8	1
541.5	2
542.2	2
542.9	4
543.6	2
544.3	1
545.0	1
545.7	2
546.4	5
547.1	1
547.9	3
548.6	1
549.3	2
550.0	5
550.7	1
551.4	1
552.1	4
552.8	0
553.5	0
554.2	2
554.9	0
555.7	1
556.4	4
557.1	0
557.8	1
558.5	1
559.2	2
559.9	1
560.6	0
561.3	0
562.0	1
562.8	1
563.5	5
564.2	3
564.9	2
565.6	0
566.3	0
567.0	3
567.7	1
568.4	1
569.1	2
569.9	0
570.6	1
571.3	0
572.0	1
572.7	4
573.4	1
574.1	1
574.8	0
575.5	0
576.2	0
576.9	1
577.7	0
578.4	1
579.1	4
579.8	1
580.5	1
581.2	0
581.9	0
582.6	3
583.3	2
584.0	0
584.8	2
585.5	1
586.2	2
586.9	0
587.6	0
588.3	0
589.0	2
589.7	0
590.4	0
591.1	1
591.9	1
592.6	2
593.3	0
594.0	2
594.7	1
595.4	0
596.1	0
596.8	1
597.5	0
598.2	1
598.9	0
599.7	2
600.4	0
601.1	0
601.8	0
602.5	0
603.2	0
603.9	1
604.6	1
605.3	2
606.0	0
606.8	2
607.5	2
608.2	0
608.9	0
609.6	0
610.3	0
611.0	0
611.7	0
612.4	0
613.1	0
613.9	0
614.6	0
615.3	1
616.0	1
616.7	0
617.4	0
618.1	1
618.8	0
619.5	1
620.2	1
620.9	0
621.7	0
622.4	1
623.1	0
623.8	0
624.5	0
625.2	1
625.9	1
626.6	0
627.3	3
628.0	0
628.8	0
629.5	1
630.2	0
630.9	0
631.6	0
632.3	0
633.0	0
633.7	0
634.4	1
635.1	0
635.9	1
636.6	0
637.3	0
638.0	0
638.7	0
639.4	0
640.1	0
640.8	0
641.5	0
642.2	0
642.9	0
643.7	0
644.4	0
645.1	0
645.8	0
646.5	0
647.2	0
647.9	0
648.6	1
649.3	0
650.0	0
650.8	0
651.5	0
652.2	0
652.9	0
653.6	0
654.3	0
655.0	0
655.7	1
656.4	0
657.1	1
657.8	0
658.6	0
659.3	1
660.0	0
660.7	0
661.4	0
662.1	0
662.8	0
663.5	0
664.2	0
664.9	0
665.7	0
666.4	1
667.1	0
667.8	0
668.5	0
669.2	0
669.9	1
670.6	0
671.3	0
672.0	0
672.8	0
673.5	1
674.2	0
674.9	0
675.6	0
676.3	0
677.0	0
677.7	1
678.4	0
679.1	0
679.8	0
680.6	0
681.3	0
682.0	0
682.7	0
683.4	0
684.1	0
684.8	0
685.5	0
686.2	0
686.9	0
687.7	0
688.4	0
689.1	0
689.8	0
690.5	0
691.2	0
691.9	0
692.6	0
693.3	0
694.0	0
694.8	0
695.5	0
696.2	0
696.9	0
697.6	0
698.3	0
699.0	0
699.7	0
700.4	0
701.1	0
701.8	0
702.6	0
703.3	0
704.0	0
704.7	0
705.4	0
706.1	0
706.8	0
707.5	0
708.2	0
708.9	0
709.7	0
710.4	0
711.1	0
711.8	0
712.5	0
713.2	0
713.9	0
714.6	0
715.3	0
716.0	0
716.8	0
717.5	0
718.2	0
718.9	0
719.6	0
720.3	0
721.0	0
721.7	1
722.4	0
723.1	0
723.8	1
724.6	0
725.3	0
726.0	0
726.7	0
727.4	0
728.1	0
728.8	0
729.5	0
730.2	0
730.9	0
731.7	0
732.4	0
733.1	0
733.8	0
734.5	0
735.2	0
735.9	0
736.6	0
737.3	0
738.0	0
738.8	0
739.5	0
740.2	0
740.9	0
741.6	0
742.3	0
743.0	0
743.7	0
744.4	0
745.1	0
745.8	0
746.6	0
747.3	0
748.0	0
748.7	0
749.4	0
750.1	0
750.8	0
751.5	0
752.2	0
752.9	0
753.7	0
754.4	0
755.1	0
755.8	0
756.5	0
757.2	0
757.9	0
758.6	0
759.3	0
760.0	0
760.8	0
761.5	0
762.2	0
762.9	0
763.6	0
764.3	0
765.0	0
765.7	0
766.4	0
767.1	0
767.8	0
768.6	0
769.3	0
770.0	0
770.7	0
771.4	0
772.1	0
772.8	0
773.5	0
774.2	0
774.9	0
775.7	0
776.4	0
777.1	0
777.8	0
778.5	0
779.2	0
779.9	0
780.6	0
781.3	0
782.0	0
782.8	0
783.5	0
784.2	0
784.9	0
785.6	0
786.3	0
787.0	1
787.7	0
788.4	0
789.1	0
789.8	0
790.6	0
791.3	0
792.0	0
792.7	0
793.4	0
794.1	0
794.8	0
795.5	0
796.2	0
796.9	0
797.7	0
798.4	0
799.1	0
799.8	0
800.5	0
801.2	0
801.9	0
802.6	0
803.3	0
804.0	0
804.8	0
805.5	0
806.2	0
806.9	0
807.6	0
808.3	0
809.0	0
809.7	0
810.4	0
811.1	0
811.8	0
812.6	0
813.3	0
814.0	0
814.7	0
815.4	0
816.1	0
816.8	0
817.5	0
818.2	0
818.9	0
819.7	0
820.4	0
821.1	0
821.8	0
822.5	0
823.2	0
823.9	0
824.6	0
825.3	0
826.0	0
826.8	0
827.5	0
828.2	0
828.9	0
829.6	0
830.3	0
831.0	0
831.7	0
832.4	0
833.1	0
833.8	0
834.6	0
835.3	0
836.0	0
836.7	0
837.4	0
838.1	0
838.8	0
839.5	0
840.2	0
840.9	0
841.7	0
842.4	0
843.1	0
843.8	0
844.5	0
845.2	0
845.9	0
846.6	0
847.3	0
848.0	0
848.7	0
849.5	0
850.2	0
850.9	0
851.6	0
852.3	0
853.0	0
853.7	0
854.4	0
855.1	0
855.8	0
856.6	0
857.3	0
858.0	0
858.7	0
859.4	0
860.1	0
860.8	0
861.5	0
862.2	0
862.9	0
863.7	0
864.4	0
865.1	0
865.8	0
866.5	0
867.2	0
867.9	1
868.6	0
869.3	0
870.0	0
870.7	0
871.5	0
872.2	0
872.9	0
873.6	0
874.3	0
875.0	0
875.7	0
876.4	0
877.1	0
877.8	0
878.6	0
879.3	0
880.0	0
880.7	0
881.4	0
882.1	0
882.8	0
883.5	0
884.2	0
884.9	0
885.7	0
886.4	0
887.1	0
887.8	0
888.5	0
889.2	0
889.9	0
890.6	0
891.3	0
892.0	0
892.7	0
893.5	0
894.2	0
894.9	0
895.6	0
896.3	0
897.0	0
897.7	0
898.4	0
899.1	0
899.8	0
900.6	0
901.3	0
902.0	0
902.7	0
903.4	0
904.1	0
904.8	0
905.5	0
906.2	0
906.9	0
907.7	0
908.4	0
909.1	1
909.8	0
910.5	0
911.2	0
911.9	0
912.6	0
913.3	0
914.0	0
914.7	0
915.5	0
916.2	0
916.9	0
917.6	0
918.3	0
919.0	0
919.7	0
920.4	0
921.1	0
921.8	0
922.6	0
923.3	0
924.0	0
924.7	0
925.4	0
926.1	0
926.8	0
927.5	0
928.2	0
928.9	0
929.7	0
930.4	0
931.1	0
931.8	0
932.5	0
933.2	0
933.9	0
934.6	0
935.3	0
936.0	0
936.7	0
937.5	0
938.2	0
938.9	0
939.6	0
940.3	0
941.0	0
941.7	0
942.4	0
943.1	0
943.8	0
944.6	0
945.3	0
946.0	0
946.7	0
947.4	0
948.1	0
948.8	0
949.5	0
950.2	0
950.9	0
951.7	0
952.4	0
953.1	0
953.8	0
954.5	0
955.2	0
955.9	0
956.6	0
957.3	0
958.0	0
958.7	0
959.5	0
960.2	0
960.9	0
