Energy	Impulses
E/keV	Impulses/#

10,6	0
11,3	0
12,1	0
12,8	0
13,5	0
14,2	0
14,9	0
15,6	0
16,3	0
17,0	0
17,7	0
18,4	1
19,2	2
19,9	7
20,6	10
21,3	19
22,0	14
22,7	3
23,4	7
24,1	5
24,8	25
25,5	976
26,2	2702
27,0	3523
27,7	3172
28,4	3136
29,1	3622
29,8	3075
30,5	3112
31,2	3108
31,9	2979
32,6	3322
33,3	2755
34,1	2610
34,8	2699
35,5	2345
36,2	2227
36,9	2684
37,6	2140
38,3	2068
39,0	2359
39,7	1988
40,4	2347
41,2	2113
41,9	1985
42,6	2179
43,3	2175
44,0	2257
44,7	1865
45,4	1998
46,1	1987
46,8	1731
47,5	1811
48,2	1963
49,0	1558
49,7	1755
50,4	1731
51,1	1539
51,8	1735
52,5	1412
53,2	1480
53,9	1533
54,6	1531
55,3	1431
56,1	1451
56,8	1401
57,5	1442
58,2	1303
58,9	1200
59,6	1461
60,3	1181
61,0	1296
61,7	1178
62,4	1080
63,2	1329
63,9	1258
64,6	1117
65,3	1213
66,0	1317
66,7	1099
67,4	1248
68,1	1175
68,8	1126
69,5	984
70,2	1104
71,0	1232
71,7	1040
72,4	1126
73,1	1077
73,8	983
74,5	1210
75,2	993
75,9	1027
76,6	1033
77,3	1067
78,1	1270
78,8	1021
79,5	1030
80,2	1066
80,9	1029
81,6	970
82,3	1164
83,0	951
83,7	975
84,4	1173
85,2	994
85,9	1123
86,6	1100
87,3	966
88,0	1090
88,7	1083
89,4	1091
90,1	1038
90,8	1093
91,5	1144
92,2	1088
93,0	1119
93,7	1288
94,4	1030
95,1	1180
95,8	1158
96,5	1064
97,2	1259
97,9	1065
98,6	1017
99,3	1116
100,1	1110
100,8	943
101,5	1101
102,2	877
102,9	943
103,6	766
104,3	671
105,0	790
105,7	637
106,4	604
107,1	556
107,9	478
108,6	539
109,3	439
110,0	402
110,7	369
111,4	384
112,1	349
112,8	315
113,5	298
114,2	325
115,0	264
115,7	281
116,4	267
117,1	235
117,8	249
118,5	225
119,2	195
119,9	270
120,6	229
121,3	259
122,1	291
122,8	309
123,5	393
124,2	423
124,9	449
125,6	564
126,3	588
127,0	719
127,7	1063
128,4	1020
129,1	1117
129,9	1593
130,6	1510
131,3	2021
132,0	2068
132,7	1963
133,4	2262
134,1	2477
134,8	2686
135,5	2302
136,2	2330
137,0	2392
137,7	1956
138,4	2040
139,1	2190
139,8	1690
140,5	1661
141,2	1492
141,9	1184
142,6	1206
143,3	973
144,1	820
144,8	760
145,5	652
146,2	644
146,9	492
147,6	462
148,3	423
149,0	405
149,7	358
150,4	378
151,1	295
151,9	308
152,6	267
153,3	260
154,0	297
154,7	254
155,4	197
156,1	229
156,8	228
157,5	179
158,2	204
159,0	175
159,7	167
160,4	139
161,1	158
161,8	149
162,5	129
163,2	149
163,9	131
164,6	130
165,3	145
166,1	121
166,8	126
167,5	122
168,2	116
168,9	130
169,6	108
170,3	107
171,0	123
171,7	95
172,4	92
173,1	113
173,9	87
174,6	85
175,3	83
176,0	95
176,7	82
177,4	97
178,1	81
178,8	96
179,5	95
180,2	92
181,0	70
181,7	87
182,4	89
183,1	70
183,8	67
184,5	92
185,2	78
185,9	95
186,6	78
187,3	56
188,1	70
188,8	63
189,5	60
190,2	79
190,9	62
191,6	50
192,3	73
193,0	55
193,7	65
194,4	59
195,1	64
195,9	55
196,6	51
197,3	55
198,0	48
198,7	42
199,4	65
200,1	44
200,8	43
201,5	51
202,2	52
203,0	47
203,7	44
204,4	40
205,1	43
205,8	42
206,5	50
207,2	47
207,9	43
208,6	56
209,3	39
210,1	42
210,8	48
211,5	38
212,2	30
212,9	32
213,6	34
214,3	30
215,0	46
215,7	35
216,4	38
217,1	35
217,9	37
218,6	35
219,3	34
220,0	34
220,7	37
221,4	34
222,1	46
222,8	35
223,5	28
224,2	30
225,0	44
225,7	32
226,4	39
227,1	29
227,8	31
228,5	26
229,2	36
229,9	42
230,6	27
231,3	38
232,1	27
232,8	23
233,5	40
234,2	27
234,9	20
235,6	32
236,3	30
237,0	15
237,7	26
238,4	20
239,1	18
239,9	22
240,6	21
241,3	23
242,0	17
242,7	20
243,4	26
244,1	14
244,8	13
245,5	18
246,2	15
247,0	21
247,7	19
248,4	17
249,1	18
249,8	9
250,5	15
251,2	11
251,9	17
252,6	17
253,3	9
254,1	13
254,8	10
255,5	13
256,2	20
256,9	18
257,6	18
258,3	18
259,0	16
259,7	18
260,4	11
261,1	12
261,9	6
262,6	6
263,3	7
264,0	14
264,7	15
265,4	14
266,1	10
266,8	6
267,5	12
268,2	8
269,0	7
269,7	11
270,4	15
271,1	10
271,8	10
272,5	8
273,2	13
273,9	12
274,6	8
275,3	8
276,1	4
276,8	9
277,5	13
278,2	6
278,9	6
279,6	7
280,3	8
281,0	8
281,7	11
282,4	12
283,1	7
283,9	12
284,6	10
285,3	9
286,0	8
286,7	5
287,4	1
288,1	5
288,8	11
289,5	5
290,2	9
291,0	2
291,7	8
292,4	4
293,1	8
293,8	4
294,5	8
295,2	8
295,9	6
296,6	10
297,3	3
298,0	11
298,8	4
299,5	8
300,2	7
300,9	8
301,6	8
302,3	5
303,0	3
303,7	5
304,4	4
305,1	3
305,9	9
306,6	7
307,3	6
308,0	7
308,7	2
309,4	3
310,1	4
310,8	5
311,5	6
312,2	5
313,0	7
313,7	6
314,4	4
315,1	5
315,8	10
316,5	2
317,2	2
317,9	3
318,6	3
319,3	3
320,0	6
320,8	4
321,5	2
322,2	5
322,9	4
323,6	7
324,3	7
325,0	4
325,7	3
326,4	2
327,1	3
327,9	10
328,6	4
329,3	6
330,0	8
330,7	5
331,4	5
332,1	8
332,8	1
333,5	3
334,2	2
335,0	2
335,7	2
336,4	3
337,1	1
337,8	1
338,5	8
339,2	9
339,9	5
340,6	1
341,3	10
342,0	6
342,8	2
343,5	3
344,2	7
344,9	6
345,6	5
346,3	3
347,0	6
347,7	4
348,4	3
349,1	4
349,9	3
350,6	7
351,3	2
352,0	3
352,7	4
353,4	4
354,1	4
354,8	7
355,5	1
356,2	0
357,0	2
357,7	1
358,4	6
359,1	0
359,8	2
360,5	2
361,2	2
361,9	5
362,6	1
363,3	2
364,0	4
364,8	5
365,5	1
366,2	4
366,9	1
367,6	2
368,3	4
369,0	3
369,7	3
370,4	3
371,1	4
371,9	1
372,6	2
373,3	1
374,0	2
374,7	2
375,4	3
376,1	1
376,8	2
377,5	4
378,2	3
379,0	2
379,7	2
380,4	3
381,1	4
381,8	1
382,5	4
383,2	2
383,9	2
384,6	5
385,3	1
386,0	4
386,8	4
387,5	1
388,2	3
388,9	0
389,6	2
390,3	2
391,0	3
391,7	3
392,4	5
393,1	2
393,9	2
394,6	1
395,3	1
396,0	0
396,7	0
397,4	3
398,1	3
398,8	6
399,5	1
400,2	3
401,0	5
401,7	1
402,4	4
403,1	6
403,8	4
404,5	3
405,2	3
405,9	4
406,6	4
407,3	1
408,0	2
408,8	2
409,5	3
410,2	1
410,9	2
411,6	1
412,3	1
413,0	0
413,7	4
414,4	0
415,1	3
415,9	3
416,6	2
417,3	0
418,0	1
418,7	3
419,4	1
420,1	0
420,8	2
421,5	0
422,2	0
423,0	2
423,7	0
424,4	1
425,1	3
425,8	1
426,5	1
427,2	1
427,9	3
428,6	1
429,3	1
430,0	0
430,8	2
431,5	0
432,2	1
432,9	0
433,6	1
434,3	3
435,0	1
435,7	1
436,4	0
437,1	2
437,9	0
438,6	0
439,3	0
440,0	0
440,7	0
441,4	1
442,1	1
442,8	1
443,5	2
444,2	1
445,0	0
445,7	0
446,4	0
447,1	0
447,8	0
448,5	2
449,2	0
449,9	2
450,6	1
451,3	1
452,0	0
452,8	2
453,5	0
454,2	0
454,9	1
455,6	1
456,3	0
457,0	0
457,7	1
458,4	1
459,1	1
459,9	1
460,6	0
461,3	2
462,0	1
462,7	0
463,4	1
464,1	0
464,8	0
465,5	0
466,2	1
466,9	0
467,7	2
468,4	0
469,1	0
469,8	1
470,5	1
471,2	1
471,9	1
472,6	0
473,3	1
474,0	0
474,8	0
475,5	0
476,2	3
476,9	1
477,6	0
478,3	0
479,0	0
479,7	0
480,4	0
481,1	0
481,9	0
482,6	1
483,3	2
484,0	0
484,7	0
485,4	0
486,1	1
486,8	2
487,5	0
488,2	1
488,9	1
489,7	0
490,4	0
491,1	1
491,8	0
492,5	0
493,2	0
493,9	0
494,6	0
495,3	0
496,0	1
496,8	0
497,5	1
498,2	1
498,9	0
499,6	0
500,3	0
501,0	0
501,7	1
502,4	0
503,1	0
503,9	0
504,6	0
505,3	0
506,0	1
506,7	0
507,4	0
508,1	0
508,8	0
509,5	0
510,2	0
510,9	0
511,7	0
512,4	1
513,1	0
513,8	1
514,5	0
515,2	0
515,9	0
516,6	1
517,3	0
518,0	0
518,8	0
519,5	0
520,2	0
520,9	0
521,6	2
522,3	0
523,0	0
523,7	0
524,4	0
525,1	1
525,9	1
526,6	1
527,3	0
528,0	0
528,7	1
529,4	0
530,1	0
530,8	0
531,5	1
532,2	0
532,9	1
533,7	0
534,4	0
535,1	0
535,8	0
536,5	1
537,2	0
537,9	0
538,6	1
539,3	0
540,0	0
540,8	0
541,5	0
542,2	0
542,9	0
543,6	2
544,3	1
545,0	0
545,7	0
546,4	0
547,1	0
547,9	0
548,6	0
549,3	1
550,0	0
550,7	0
551,4	0
552,1	0
552,8	0
553,5	0
554,2	0
554,9	0
555,7	1
556,4	0
557,1	0
557,8	0
558,5	1
559,2	1
559,9	0
560,6	0
561,3	0
562,0	0
562,8	0
563,5	0
564,2	0
564,9	0
565,6	1
566,3	0
567,0	0
567,7	0
568,4	0
569,1	0
569,9	1
570,6	0
571,3	2
572,0	0
572,7	0
573,4	0
574,1	0
574,8	0
575,5	0
576,2	0
576,9	0
577,7	0
578,4	0
579,1	0
579,8	0
580,5	0
581,2	0
581,9	0
582,6	0
583,3	0
584,0	0
584,8	0
585,5	0
586,2	0
586,9	0
587,6	0
588,3	0
589,0	0
589,7	0
590,4	0
591,1	0
591,9	0
592,6	0
593,3	0
594,0	0
594,7	0
595,4	1
596,1	0
596,8	0
597,5	0
598,2	0
598,9	0
599,7	0
600,4	0
601,1	0
601,8	0
602,5	0
603,2	0
603,9	0
604,6	0
605,3	0
606,0	0
606,8	0
607,5	0
608,2	0
608,9	0
609,6	1
610,3	0
611,0	0
611,7	0
612,4	0
613,1	0
613,9	0
614,6	0
615,3	0
616,0	0
616,7	1
617,4	0
618,1	1
618,8	0
619,5	0
620,2	0
620,9	0
621,7	0
622,4	0
623,1	0
623,8	0
624,5	0
625,2	0
625,9	0
626,6	0
627,3	0
628,0	1
628,8	0
629,5	0
630,2	0
630,9	0
631,6	0
632,3	0
633,0	0
633,7	0
634,4	0
635,1	0
635,9	0
636,6	0
637,3	0
638,0	0
638,7	1
639,4	0
640,1	0
640,8	0
641,5	0
642,2	0
642,9	0
643,7	0
644,4	0
645,1	0
645,8	0
646,5	0
647,2	0
647,9	1
648,6	0
649,3	0
650,0	0
650,8	0
651,5	0
652,2	0
652,9	0
653,6	0
654,3	0
655,0	0
655,7	0
656,4	0
657,1	0
657,8	0
658,6	0
659,3	0
660,0	0
660,7	0
661,4	0
662,1	0
662,8	0
663,5	0
664,2	0
664,9	0
665,7	0
666,4	0
667,1	0
667,8	0
668,5	0
669,2	0
669,9	0
670,6	0
671,3	0
672,0	0
672,8	0
673,5	0
674,2	0
674,9	0
675,6	0
676,3	0
677,0	0
677,7	0
678,4	0
679,1	0
679,8	0
680,6	0
681,3	0
682,0	0
682,7	0
683,4	0
684,1	0
684,8	0
685,5	0
686,2	0
686,9	0
687,7	0
688,4	0
689,1	0
689,8	0
690,5	0
691,2	0
691,9	0
692,6	0
693,3	0
694,0	0
694,8	0
695,5	0
696,2	0
696,9	0
697,6	0
698,3	0
699,0	0
699,7	0
700,4	0
701,1	0
701,8	0
702,6	0
703,3	0
704,0	0
704,7	0
705,4	1
706,1	0
706,8	0
707,5	0
708,2	0
708,9	0
709,7	0
710,4	0
711,1	0
711,8	0
712,5	0
713,2	0
713,9	0
714,6	0
715,3	0
716,0	0
716,8	0
717,5	0
718,2	1
718,9	0
719,6	0
720,3	0
721,0	0
721,7	0
722,4	1
723,1	0
723,8	0
724,6	0
725,3	0
726,0	0
726,7	0
727,4	0
728,1	0
728,8	0
729,5	0
730,2	0
730,9	0
731,7	0
732,4	0
733,1	0
733,8	0
734,5	0
735,2	0
735,9	0
736,6	0
737,3	0
738,0	0
738,8	0
739,5	0
740,2	0
740,9	0
741,6	0
742,3	0
743,0	0
743,7	0
744,4	0
745,1	0
745,8	0
746,6	0
747,3	0
748,0	0
748,7	0
749,4	0
750,1	1
750,8	0
751,5	0
752,2	0
752,9	0
753,7	0
754,4	0
755,1	0
755,8	0
756,5	0
757,2	0
757,9	0
758,6	0
759,3	0
760,0	0
760,8	0
761,5	0
762,2	0
762,9	0
763,6	0
764,3	0
765,0	0
765,7	0
766,4	0
767,1	1
767,8	0
768,6	0
769,3	0
770,0	0
770,7	0
771,4	1
772,1	0
772,8	0
773,5	1
774,2	0
774,9	0
775,7	0
776,4	0
777,1	0
777,8	0
778,5	0
779,2	0
779,9	0
780,6	0
781,3	0
782,0	0
782,8	0
783,5	0
784,2	0
784,9	0
785,6	0
786,3	0
787,0	0
787,7	0
788,4	0
789,1	0
789,8	0
790,6	0
791,3	0
792,0	0
792,7	0
793,4	0
794,1	0
794,8	0
795,5	0
796,2	0
796,9	0
797,7	0
798,4	0
799,1	0
799,8	0
800,5	0
801,2	0
801,9	0
802,6	0
803,3	0
804,0	0
804,8	0
805,5	0
806,2	0
806,9	0
807,6	1
808,3	0
809,0	0
809,7	0
810,4	0
811,1	0
811,8	0
812,6	0
813,3	0
814,0	0
814,7	0
815,4	0
816,1	0
816,8	0
817,5	0
818,2	0
818,9	0
819,7	0
820,4	0
821,1	0
821,8	0
822,5	0
823,2	0
823,9	0
824,6	0
825,3	0
826,0	0
826,8	0
827,5	0
828,2	0
828,9	0
829,6	0
830,3	0
831,0	0
831,7	0
832,4	0
833,1	0
833,8	0
834,6	0
835,3	0
836,0	0
836,7	0
837,4	0
838,1	0
838,8	0
839,5	0
840,2	0
840,9	0
841,7	0
842,4	0
843,1	0
843,8	0
844,5	0
845,2	0
845,9	0
846,6	0
847,3	0
848,0	0
848,7	0
849,5	0
850,2	0
850,9	0
851,6	0
852,3	0
853,0	0
853,7	0
854,4	0
855,1	1
855,8	0
856,6	0
857,3	0
858,0	0
858,7	1
859,4	0
860,1	0
860,8	0
861,5	0
862,2	0
862,9	0
863,7	0
864,4	0
865,1	0
865,8	0
866,5	0
867,2	0
867,9	0
868,6	0
869,3	0
870,0	0
870,7	0
871,5	0
872,2	0
872,9	0
873,6	0
874,3	0
875,0	0
875,7	0
876,4	0
877,1	0
877,8	0
878,6	0
879,3	0
880,0	0
880,7	0
881,4	0
882,1	0
882,8	1
883,5	0
884,2	0
884,9	0
885,7	0
886,4	0
887,1	0
887,8	0
888,5	0
889,2	0
889,9	0
890,6	0
891,3	0
892,0	0
892,7	0
893,5	0
894,2	1
894,9	0
895,6	0
896,3	0
897,0	0
897,7	0
898,4	0
899,1	0
899,8	0
900,6	0
901,3	0
902,0	0
902,7	0
903,4	0
904,1	0
904,8	0
905,5	0
906,2	0
906,9	0
907,7	0
908,4	0
909,1	0
909,8	0
910,5	0
911,2	0
911,9	0
912,6	0
913,3	0
914,0	0
914,7	0
915,5	0
916,2	0
916,9	0
917,6	0
918,3	0
919,0	0
919,7	0
920,4	0
921,1	0
921,8	0
922,6	0
923,3	0
924,0	0
924,7	0
925,4	0
926,1	0
926,8	1
927,5	0
928,2	0
928,9	1
929,7	0
930,4	0
931,1	1
931,8	0
932,5	0
933,2	0
933,9	0
934,6	0
935,3	0
936,0	0
936,7	0
937,5	0
938,2	0
938,9	0
939,6	0
940,3	0
941,0	0
941,7	0
942,4	0
943,1	0
943,8	0
944,6	0
945,3	0
946,0	1
946,7	0
947,4	0
948,1	0
948,8	0
949,5	0
950,2	0
950,9	0
951,7	0
952,4	0
953,1	0
953,8	0
954,5	0
955,2	0
955,9	0
956,6	0
957,3	0
958,0	0
958,7	1
959,5	0
960,2	0
960,9	0
961,6	0
962,3	0
963,0	0
963,7	0
964,4	0
965,1	0
965,8	0
966,6	0
967,3	0
968,0	0
968,7	0
969,4	0
970,1	0
970,8	0
971,5	0
972,2	0
972,9	0
973,7	0
974,4	0
975,1	0
975,8	0
976,5	0
977,2	0
977,9	0
978,6	0
979,3	0
